title,price,old_price,category,description
ZyXEL Licenta content filtering,252.99,,Soft Retea,ZyXEL Licenta content filtering
ZyXEL Licenta 1 an LIC1Y-AV/IDP-S,831.99,,Soft Retea,ZyXEL Licenta 1 an LIC1Y-AV/IDP-S
Mouse Lenovo Optic 31P7410 (Negru),90.99,,Mouse,"Conectare : Wired,Tehnologie : Optic,Scroll : Da,Butoane : 3,Interfata : USB,Rezolutie (DPI) : 800,Culoare : Negru"
UPS UISAbler 600V,190.99,219,UPS,Putere intrare (VA) : 600
"UPS APC Back-UPS BK350EI, 350VA/210W, 4 x IEC 320",558.99,,UPS,"Tipologie : Offline,Putere intrare (VA) : 350,Putere Iesire (W) : 210,Tensiune alimentare (V) : 230,Energie (J) : 310,Dimensiuni (mm) : 165 x 91 x 284,Greutate (kg) : 6.3 kg,Culoare : Bej,Regulator tensiune(AVR) : Da,Protectie linie de telefon : Da,Protectie retea : Da,Prize IEC C13 : x4,Numar acumulatori : 1,Model Acumulator : RBC2,Durata incarcare acumulator (ore) : 6"
"Back-UPS APC CS, 500VA/300W, off-line",629.99,661.99,UPS,"Management : Da,Putere intrare (VA) : 500,Putere Iesire (W) : 300,Tensiune alimentare (V) : 230,Energie (J) : 320,Dimensiuni (mm) : 91 x 165 x 284,Greutate (kg) : 6,Culoare : Alb,Regulator tensiune(AVR) : Da,Tipuri protectie : Suprasarcina| Scurtcircuit| Descarcari electrice,Altele : Material plastic rezistent la foc| Protectie pt. copii,Nr. Prize : 4"
"Back-UPS APC CS, 650VA/400W, off-line",758.99,791.99,UPS,"Management : Da,Putere intrare (VA) : 650,Putere Iesire (W) : 400,Tensiune alimentare (V) : 230,Energie (J) : 310,Dimensiuni (mm) : 165 x 91 x 284,Greutate (kg) : 6.03,Culoare : Alb,Regulator tensiune(AVR) : Da,Alarma : Da,Specificatii acumulator : RBC17"
"Smart-UPS APC,420VA/260W",1199.99,,UPS,"Putere intrare (VA) : 420,Putere Iesire (W) : 260,Tensiune alimentare (V) : 230,Dimensiuni (mm) : 383 x 235 x 86.2,Greutate (kg) : 10,Culoare : Negru"
"Smart-UPS APC,620VA/390W",1470.99,,UPS,"Smart-UPS APC,620VA/390W"
Mouse BenQ Optic P600 (Argintiu),83.99,,Mouse,"Conectare : Wireless,Tehnologie : Optic,Constructie : Ambidextru,Scroll : Da,Butoane : 3,Interfata : USB,Culoare : Argintiu"
Back-UPS APC ES 400VA 230V (German/Dutch),574.99,,UPS,"Putere intrare (VA) : 400,Putere Iesire (W) : 240,Tensiune alimentare (V) : 230,Regulator tensiune(AVR) : Da,Tipuri protectie : Suprasarcina| Scurtcircuit| Descarcari electrice,Altele : Material plastic rezistent la foc| Protectie pt. copii,Nr. Prize : 8"
Casti Creative Aurvana Live!,244.99,299,Casti - Microfoane,"Structura : Earcup,Conectare : Wired,Interfata : Jack de 3.5 mm,Lungimea cablului (m) : 1.2,Stil : Over-the-head,Pernuta : Da,Sensibilitate (dBPa/V) : 103,Frecventa : 10 Hz - 30 kHz,Impedanta (Ohm) : 32"
Casti Microsoft LifeChat LX-3000,151.99,,Casti - Microfoane,"Structura : Earcup,Conectare : Wired,Interfata : USB,Lungimea cablului (m) : 1.8,Stil : Over-the-head,Pernuta : Da,Microfon : Da,Mute : Da,Controlul volumului : Da"
Rack RaidSonic IB-168SK-B,121.99,,HDD Rack,"Conectare PC : SATA,Material : Structura din otel inoxidabil si carcasa din plastic,Form Factor : 3.5inch,Interfata HDD : SATA3,Capacitate maxima : Fara limitare in privinta capacitatii,Dimensiuni : 21.5 x 16.7 x 5.2,Greutate (kg) : 0.305"
Smart-UPS APC SC 450VA 1U Rackmount/Tower,1473.99,,UPS,"Putere intrare (VA) : 450,Putere Iesire (W) : 280,Tensiune alimentare (V) : 230,Energie (J) : 320,Dimensiuni (mm) : 44 x 432 x 383,Greutate (kg) : 11.73,Culoare : Gri,Altele : LED status display with On Line : On Battery : Replace Battery and Overload indicators | Input voltage adjustable range for mains operation: 151 - 302V | Input voltage range for main operations: 160 - 286V| Environmental Compliance: RoHS 7b Exemption|,Alarma : Alarm when on battery : distinctive low battery alarm : overload continuous tone alarm,Protectie linie de telefon : Da,Nr. Prize : 4,Specificatii acumulator : RBC18 | Maintenance-free sealed Lead-Acid battery with suspended electrolyte : leakproof"
UPS Gembird PC-1202AP,384.99,,UPS,"Putere intrare (VA) : 1200,Tensiune alimentare (V) : 220,Dimensiuni (mm) : 382x222x124,Greutate (kg) : 10.4,Culoare : Negru,Regulator tensiune(AVR) : Da"
UPS Gembird 652A,189.99,,UPS,"Putere intrare (VA) : 625,Tensiune alimentare (V) : 220,Dimensiuni (mm) : 320 mm x 160 mm x 95 mm,Greutate (kg) : 7"
